v1_n01_k01 內用一個漢堡
v1_n01_k02 內用一個雞翅
v1_n01_k03 內用一塊雞腿
v1_n01_k04 內用一份雞塊
v1_n01_k05 內用一份沙拉
v1_n01_k06 內用一杯可樂
v1_n01_k07 內用一杯紅茶
v1_n01_k08 內用一包薯條
v1_n01_k09 內用一包蘋果派
v1_n01_k10 內用一支冰淇淋
v1_n02_k01 內用兩個漢堡
v1_n02_k02 內用兩個雞翅
v1_n02_k03 內用兩塊雞腿
v1_n02_k04 內用兩份雞塊
v1_n02_k05 內用兩份沙拉
v1_n02_k06 內用兩杯可樂
v1_n02_k07 內用兩杯紅茶
v1_n02_k08 內用兩包薯條
v1_n02_k09 內用兩包蘋果派
v1_n02_k10 內用兩支冰淇淋
v1_n03_k01 內用三個漢堡
v1_n03_k02 內用三個雞翅
v1_n03_k03 內用三塊雞腿
v1_n03_k04 內用三份雞塊
v1_n03_k05 內用三份沙拉
v1_n03_k06 內用三杯可樂
v1_n03_k07 內用三杯紅茶
v1_n03_k08 內用三包薯條
v1_n03_k09 內用三包蘋果派
v1_n03_k10 內用三支冰淇淋
v1_n04_k01 內用四個漢堡
v1_n04_k02 內用四個雞翅
v1_n04_k03 內用四塊雞腿
v1_n04_k04 內用四份雞塊
v1_n04_k05 內用四份沙拉
v1_n04_k06 內用四杯可樂
v1_n04_k07 內用四杯紅茶
v1_n04_k08 內用四包薯條
v1_n04_k09 內用四包蘋果派
v1_n04_k10 內用四支冰淇淋
v1_n05_k01 內用五個漢堡
v1_n05_k02 內用五個雞翅
v1_n05_k03 內用五塊雞腿
v1_n05_k04 內用五份雞塊
v1_n05_k05 內用五份沙拉
v1_n05_k06 內用五杯可樂
v1_n05_k07 內用五杯紅茶
v1_n05_k08 內用五包薯條
v1_n05_k09 內用五包蘋果派
v1_n05_k10 內用五支冰淇淋
v1_n06_k01 內用六個漢堡
v1_n06_k02 內用六個雞翅
v1_n06_k03 內用六塊雞腿
v1_n06_k04 內用六份雞塊
v1_n06_k05 內用六份沙拉
v1_n06_k06 內用六杯可樂
v1_n06_k07 內用六杯紅茶
v1_n06_k08 內用六包薯條
v1_n06_k09 內用六包蘋果派
v1_n06_k10 內用六支冰淇淋
v1_n07_k01 內用七個漢堡
v1_n07_k02 內用七個雞翅
v1_n07_k03 內用七塊雞腿
v1_n07_k04 內用七份雞塊
v1_n07_k05 內用七份沙拉
v1_n07_k06 內用七杯可樂
v1_n07_k07 內用七杯紅茶
v1_n07_k08 內用七包薯條
v1_n07_k09 內用七包蘋果派
v1_n07_k10 內用七支冰淇淋
v1_n08_k01 內用八個漢堡
v1_n08_k02 內用八個雞翅
v1_n08_k03 內用八塊雞腿
v1_n08_k04 內用八份雞塊
v1_n08_k05 內用八份沙拉
v1_n08_k06 內用八杯可樂
v1_n08_k07 內用八杯紅茶
v1_n08_k08 內用八包薯條
v1_n08_k09 內用八包蘋果派
v1_n08_k10 內用八支冰淇淋
v1_n09_k01 內用九個漢堡
v1_n09_k02 內用九個雞翅
v1_n09_k03 內用九塊雞腿
v1_n09_k04 內用九份雞塊
v1_n09_k05 內用九份沙拉
v1_n09_k06 內用九杯可樂
v1_n09_k07 內用九杯紅茶
v1_n09_k08 內用九包薯條
v1_n09_k09 內用九包蘋果派
v1_n09_k10 內用九支冰淇淋
v1_n10_k01 內用十個漢堡
v1_n10_k02 內用十個雞翅
v1_n10_k03 內用十塊雞腿
v1_n10_k04 內用十份雞塊
v1_n10_k05 內用十份沙拉
v1_n10_k06 內用十杯可樂
v1_n10_k07 內用十杯紅茶
